N,P,K,temp,humid,ph,rainfal,label,investment,State_Name,District_Name
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,4174.0,4,269
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,4507.0,9,392
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice,1860.0,29,178
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice,2294.0,21,236
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice,2130.0,16,448
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice,2095.0,9,475
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice,4772.0,15,232
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,4092.0,4,443
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,2638.0,29,416
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice,3169.0,15,103
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice,1466.0,16,16
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice,2238.0,18,489
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice,1330.0,16,411
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,2482.0,4,443
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,3135.0,13,123
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,4444.0,13,133
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,4171.0,4,539
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice,3919.0,30,401
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,4735.0,16,8
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,1130.0,18,489
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,rice,2685.0,31,342
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,rice,4380.0,15,333
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice,1769.0,1,152
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,rice,3391.0,13,105
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,rice,2515.0,21,125
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,rice,4485.0,16,101
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,3853.0,16,374
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,rice,3433.0,2,394
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,rice,2215.0,23,60
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice,1955.0,10,95
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice,3324.0,29,345
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,2184.0,14,289
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,1459.0,15,529
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,rice,4385.0,13,123
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,rice,1021.0,1,493
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,rice,3300.0,3,240
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,1747.0,29,9
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,rice,3904.0,31,342
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,4632.0,29,461
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,rice,1474.0,27,429
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,rice,2082.0,29,202
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,rice,3558.0,15,77
83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,rice,4753.0,23,449
82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,3047.0,26,368
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,rice,4547.0,13,536
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,rice,3747.0,21,378
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,rice,1975.0,15,215
74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,2806.0,13,123
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,rice,1189.0,9,389
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,rice,4005.0,16,385
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,3734.0,6,371
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice,4005.0,21,251
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice,1562.0,27,367
65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,2899.0,6,130
95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,4638.0,6,177
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,rice,2267.0,11,224
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,rice,3879.0,9,265
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,2528.0,6,149
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,rice,4202.0,26,478
99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,rice,4556.0,6,82
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,rice,4890.0,13,46
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,rice,1646.0,15,102
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,rice,3068.0,1,191
70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,3888.0,21,251
76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,3214.0,29,159
99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,rice,2297.0,24,81
99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,3435.0,4,452
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,rice,1600.0,30,124
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,rice,3363.0,13,290
91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,3061.0,21,114
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice,1241.0,16,16
67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,3041.0,26,145
79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,3824.0,26,520
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,4417.0,13,290
75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,rice,3612.0,13,287
97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,rice,3945.0,23,439
67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,rice,2363.0,12,126
73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,rice,3139.0,29,279
77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,rice,2390.0,29,450
81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,4003.0,27,2
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,rice,2478.0,11,494
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,rice,4499.0,28,490
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,rice,3556.0,16,101
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,1775.0,24,51
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,rice,1034.0,23,335
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,3253.0,29,45
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,rice,4152.0,20,312
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,2955.0,24,109
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,rice,2585.0,4,179
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,4943.0,8,440
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,4459.0,16,369
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,4073.0,29,37
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,2021.0,12,226
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,rice,4461.0,26,113
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,3613.0,31,144
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,rice,2129.0,4,62
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,4843.0,29,279
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,4893.0,24,294
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,rice,2500.0,20,347
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,rice,1702.0,8,278
71.0,54.0,16.0,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,3449.0,1,108
61.0,44.0,17.0,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,3777.0,29,483
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,maize,2579.0,30,12
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,maize,1161.0,13,287
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,maize,1201.0,21,384
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,maize,2981.0,16,482
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,maize,1995.0,29,196
89.0,60.0,19.0,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,3317.0,20,348
